worker_id,platform,location,earnings_per_day,hours_worked,jobs_completed,rating,date
1,swiggy,delhi,450.0,8.0,20,4.5,2024-01-01
2,zomato,mumbai,600.0,10.0,25,4.2,2024-01-01
3,uber,bangalore,1500.0,12.0,40,4.8,2024-01-02
4,swiggy,pune,920.0,9.0,22,4.1,2024-01-02
5,freelancer,delhi,2000.0,10.0,5,4.9,2024-01-03
6,uber,chennai,800.0,30.0,35,4.5,2024-01-03
7,swiggy,pune,920.0,9.0,22,4.0,2024-01-04
8,zomato,mumbai,600.0,11.0,28,4.3,2024-01-04
10,freelancer,delhi,5000.0,6.0,3,5.0,2024-01-05
11,swiggy,delhi,300.0,7.0,15,4.2,2024-01-06
12,zomato,mumbai,700.0,9.0,30,4.6,2024-01-06
13,uber,bangalore,10000.0,10.0,50,4.9,2024-01-07
14,swiggy,pune,550.0,0.0,18,4.0,2024-01-07
16,uber,chennai,900.0,10.0,33,6.0,2024-01-08
17,swiggy,pune,400.0,8.0,20,4.1,2024-01-09
18,zomato,mumbai,650.0,10.0,27,4.3,2024-01-09
19,uber,bangalore,920.0,11.0,35,4.7,2024-01-10
20,freelancer,delhi,2200.0,7.0,6,4.9,2024-01-10
21,swiggy,delhi,350.0,6.0,14,4.0,2024-01-11
22,zomato,mumbai,800.0,10.0,29,4.4,2024-01-11
23,uber,bangalore,1300.0,11.0,38,4.8,2024-01-12
24,swiggy,pune,920.0,9.0,21,4.2,2024-01-12
25,freelancer,delhi,2500.0,8.0,7,4.7,2024-01-13
26,uber,chennai,950.0,10.0,36,4.5,2024-01-13
27,swiggy,pune,420.0,7.0,19,4.1,2024-01-14
28,zomato,mumbai,720.0,9.0,28,4.3,2024-01-14
29,uber,bangalore,1400.0,12.0,42,4.9,2024-01-15
30,freelancer,delhi,6000.0,6.0,4,5.0,2024-01-15
31,swiggy,delhi,320.0,7.0,16,4.2,2024-01-16
32,zomato,mumbai,750.0,10.0,31,4.5,2024-01-16
33,uber,bangalore,1100.0,9.0,37,4.6,2024-01-17
34,swiggy,pune,500.0,8.0,20,4.1,2024-01-17
35,freelancer,delhi,3000.0,10.0,8,4.8,2024-01-18
37,swiggy,pune,920.0,9.0,22,4.0,2024-01-19
38,zomato,mumbai,680.0,11.0,26,4.2,2024-01-19
39,uber,bangalore,1250.0,10.0,34,4.7,2024-01-20
40,freelancer,delhi,7000.0,5.0,2,5.5,2024-01-20
41,swiggy,delhi,300.0,6.0,15,4.1,2024-01-21
42,zomato,mumbai,820.0,10.0,33,4.6,2024-01-21
43,uber,bangalore,1350.0,11.0,39,4.8,2024-01-22
44,swiggy,pune,520.0,9.0,23,4.2,2024-01-22
45,freelancer,delhi,2600.0,8.0,7,4.7,2024-01-23
46,uber,chennai,980.0,10.0,35,4.5,2024-01-23
47,swiggy,pune,410.0,7.0,18,4.0,2024-01-24
48,zomato,mumbai,710.0,9.0,27,4.3,2024-01-24
49,uber,bangalore,1500.0,12.0,45,4.9,2024-01-25
50,freelancer,delhi,8000.0,6.0,3,5.0,2024-01-25
51,swiggy,delhi,330.0,7.0,17,4.2,2024-01-26
52,zomato,mumbai,760.0,10.0,30,4.4,2024-01-26
53,uber,bangalore,1150.0,9.0,36,4.6,2024-01-27
54,swiggy,pune,480.0,8.0,21,4.1,2024-01-27
55,freelancer,delhi,2800.0,8.0,9,4.8,2024-01-28
56,uber,chennai,900.0,10.0,34,4.5,2024-01-28
57,swiggy,pune,920.0,7.0,20,4.0,2024-01-29
58,zomato,mumbai,740.0,9.0,29,4.3,2024-01-29
59,uber,bangalore,1450.0,11.0,41,4.8,2024-01-30
60,freelancer,delhi,9000.0,6.0,2,5.2,2024-01-30
61,swiggy,delhi,280.0,6.0,13,4.1,2024-01-31
62,zomato,mumbai,900.0,11.0,35,4.6,2024-01-31
63,uber,bangalore,1600.0,13.0,50,4.9,2024-02-01
64,swiggy,pune,920.0,8.0,22,4.0,2024-02-01
65,freelancer,delhi,3500.0,8.0,10,4.7,2024-02-02
66,uber,chennai,1000.0,14.0,40,4.5,2024-02-02
67,swiggy,pune,920.0,9.0,21,4.2,2024-02-03
68,zomato,mumbai,720.0,10.0,30,4.4,2024-02-03
70,freelancer,delhi,15000.0,5.0,2,5.3,2024-02-04
71,swiggy,delhi,310.0,7.0,16,4.2,2024-02-05
72,zomato,mumbai,850.0,10.0,33,4.5,2024-02-05
73,uber,bangalore,12000.0,11.0,60,4.9,2024-02-06
74,swiggy,pune,450.0,0.0,20,4.1,2024-02-06
76,uber,chennai,920.0,10.0,34,6.2,2024-02-07
77,swiggy,pune,430.0,7.0,18,4.0,2024-02-08
78,zomato,mumbai,780.0,10.0,29,4.3,2024-02-08
79,uber,bangalore,920.0,12.0,40,4.7,2024-02-09
80,freelancer,delhi,4000.0,6.0,5,4.8,2024-02-09
81,swiggy,delhi,290.0,6.0,14,4.1,2024-02-10
82,zomato,mumbai,870.0,11.0,36,4.6,2024-02-10
83,uber,bangalore,1700.0,13.0,52,4.9,2024-02-11
84,swiggy,pune,920.0,8.0,23,4.2,2024-02-11
85,freelancer,delhi,2800.0,9.0,8,4.7,2024-02-12
86,uber,chennai,950.0,10.0,35,4.5,2024-02-12
87,swiggy,pune,410.0,7.0,19,4.0,2024-02-13
88,zomato,mumbai,760.0,10.0,28,4.3,2024-02-13
89,uber,bangalore,1350.0,12.0,42,4.8,2024-02-14
90,freelancer,delhi,11000.0,5.0,1,5.6,2024-02-14
91,swiggy,delhi,305.0,7.0,15,4.2,2024-02-15
92,zomato,mumbai,880.0,10.0,34,4.5,2024-02-15
93,uber,bangalore,1250.0,9.0,38,4.6,2024-02-16
94,swiggy,pune,470.0,8.0,21,4.1,2024-02-16
95,freelancer,delhi,3100.0,10.0,9,4.8,2024-02-17
97,swiggy,pune,920.0,9.0,22,4.0,2024-02-18
98,zomato,mumbai,800.0,11.0,31,4.4,2024-02-18
99,uber,bangalore,1400.0,12.0,44,4.8,2024-02-19
100,freelancer,delhi,12000.0,6.0,3,5.7,2024-02-19
101,swiggy,delhi,270.0,6.0,12,4.0,2024-02-20
102,zomato,mumbai,920.0,11.0,37,4.6,2024-02-20
103,uber,bangalore,1800.0,14.0,55,4.9,2024-02-21
104,swiggy,pune,490.0,0.0,20,4.1,2024-02-21
106,uber,chennai,910.0,10.0,36,6.0,2024-02-22
107,swiggy,pune,920.0,7.0,20,4.0,2024-02-23
108,zomato,mumbai,740.0,9.0,28,4.3,2024-02-23
109,uber,bangalore,1500.0,12.0,45,4.8,2024-02-24
110,freelancer,delhi,20000.0,5.0,1,5.8,2024-02-24
111,swiggy,delhi,300.0,7.0,15,4.2,2024-02-25
112,zomato,mumbai,860.0,10.0,32,4.5,2024-02-25
113,uber,bangalore,1100.0,9.0,36,4.6,2024-02-26
114,swiggy,pune,480.0,8.0,21,4.1,2024-02-26
115,freelancer,delhi,2900.0,8.0,7,4.7,2024-02-27
116,uber,chennai,930.0,10.0,34,4.5,2024-02-27
117,swiggy,pune,920.0,7.0,19,4.0,2024-02-28
118,zomato,mumbai,770.0,9.0,29,4.3,2024-02-28
119,uber,bangalore,1450.0,11.0,41,4.8,2024-02-29
120,freelancer,delhi,15000.0,6.0,2,5.9,2024-02-29
121,swiggy,delhi,260.0,6.0,13,4.1,2024-03-01
122,zomato,mumbai,890.0,11.0,35,4.6,2024-03-01
